resume_id,prompt_version,model,latency_seconds,descriptions_returned,gold_description_count,description_count_recall,exact_source_rate,source_window_cosine,source_window_word_f1,source_fidelity_score,gold_cosine_diagnostic,gold_word_f1_diagnostic,description_score
sap_developer__Image_100,v001,gemma-4-31b-it,81.90439,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sap_developer__Image_100,v002,gemma-4-31b-it,44.96,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
network_security_engineer__3271dd46520c65b9,v001,gemma-4-31b-it,68.29247,2,2,1.0,1.0,0.9902595932133335,0.9788482834994463,0.992276969178195,0.45504040064556406,0.3226313426133812,0.9945938784247363
network_security_engineer__3271dd46520c65b9,v002,gemma-4-31b-it,65.94559,2,2,1.0,1.0,0.9902595932133335,0.9788482834994463,0.992276969178195,0.45504040064556406,0.3226313426133812,0.9945938784247363
sql_developer__0b8431fc6fb166a7,v001,gemma-4-31b-it,69.63447000000001,3,3,1.0,0.0,0.9549425661453997,0.934668840082361,0.4724028515569402,0.9286760018226953,0.8737507215384556,0.6306819960898581
sql_developer__0b8431fc6fb166a7,v002,gemma-4-31b-it,105.33941,3,3,1.0,1.0,0.9957805907172995,0.9929078014184397,0.9971720980339348,0.9395034864296266,0.8907469823985251,0.9980204686237544
python_developer__67,v001,gemma-4-31b-it,112.36295,4,4,1.0,0.0,0.8895333820705047,0.7236102763806634,0.40328591461279206,0.5367361514395014,0.21259229921090994,0.5823001402289545
python_developer__67,v002,gemma-4-31b-it,212.44094,4,4,1.0,0.25,0.9925883108909138,0.9735419297792522,0.6165325601675415,0.502413992806608,0.11378345449283891,0.731572792117279
data_science__Image_50,v001,gemma-4-31b-it,47.862410000000004,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_science__Image_50,v002,gemma-4-31b-it,51.19967,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
